图片ID,种族,职业,提示词
2110,狐族,领主,"fox girl, kemonomimi, (purple hair:1.2), purple to blonde gradient fox ears, (purple hair:1.2), purple to blonde gradient fox tail, (purple hair:1.2), purple to blonde gradient hair, short hair, straight hair, ahoge, heart-shaped eyes, athletic build, (medium breasts:1.2), feudal lord scheme, shadow lord outfit, secret ruler robes, covert power scepter, hidden influence documents, espionage accessories, intrigue jewelry, shadow clan symbols, conspiracy authority ornaments, spy network scrolls, secret society fan, underworld control badges, shadow government implements, noble, commanding pose, estate, noble lighting, regal, feudal lord scheme, looking_to_the_side, cowboy_shot, cinematic_angle, symmetric composition,"
2111,狐族,海贼,"fox girl, kemonomimi, purple fox ears, purple fox tail, purple hair, short hair, straight hair, air bangs, silk bow, golden eyes, athletic build, (medium breasts:1.2), sea raider scheme, revealing pirate outfit, torn clothing, cutlass, crossbow, treasure map, rum bottle, eye patch, bandana, rope accessories, sea jewelry, alluring raider ornaments, compass, confident, combat stance, beach, sunlight, wild, sea raider scheme, head_tilt, upper_body, from_side, rule of thirds,"
2112,狐族,船长,"fox girl, kemonomimi, (purple hair:1.2), purple to blonde gradient fox ears, (purple hair:1.2), purple to blonde gradient fox tail, (purple hair:1.2), purple to blonde gradient hair, short hair, curly hair, centre parting bangs, braid detail, purple eyes, athletic build, (medium breasts:1.2), maritime gold scheme, seductive naval commander attire, exposing officer robes, command symbols, navigation instruments, ship documents, authority badges, maritime accessories, captain's jewelry, naval ornaments, leadership tools, provocative maritime accessories, weather crystal, commanding, navigating, captain's quarters, sunlight, authoritative, maritime gold scheme, looking_afar, medium_shot, dynamic_angle, elegant composition,"
2113,狐族,歌妓,"fox girl, kemonomimi, (purple hair:1.2), purple to blonde gradient fox ears, (purple hair:1.2), purple to blonde gradient fox tail, (purple hair:1.2), purple to blonde gradient hair, short hair, messy hair, centre parting bangs, tiara, green eyes, athletic build, (medium breasts:1.2), elegant crimson scheme, koto musician outfit, elegant musician kimono, traditional koto instrument, music sheets, performance jewelry, artistic accessories, musician ornaments, melodic tools, concert makeup, harmony symbols, seductive artist ornaments, tuning implements, artistic, playing music, playhouse, lantern light, artistic, elegant crimson scheme, sideways_glance, profile, dynamic_angle, rule of thirds,"
2114,狐族,医师,"fox girl, kemonomimi, purple fox ears, purple fox tail, purple hair, short hair, forehead, blunt bangs, delicate hair ornament, heart-shaped eyes, curvy build, huge breasts, green-white color scheme, revealing herbalist outfit, botanical patterns, plant guide, herb scissors, collection basket, dried herbs, essence vials, nature jewelry, green ribbons, healing charm, alluring natural healer ornaments, flower crown, caring, examining, herbalist hut, soft light, peaceful, green-white color scheme, facing_away, profile, from_above, symmetric composition,"
2115,狐族,吟游诗人,"fox girl, kemonomimi, purple fox ears, purple fox tail, purple hair, short hair, messy hair, feather accent, red eyes, curvy build, huge breasts, rainbow color scheme, seductive bard outfit, revealing colorful cloak, musical instrument, feathered hat, slit performance costume, song sheets, lute strings, artistic accessories, performance jewelry, alluring entertainer ornaments, decorative bells, silk scarves, smiling, performing pose, village square, sunlight, peaceful, rainbow color scheme, stare, profile, front view, rule of thirds,"
2116,狐族,巫女,"fox girl, kemonomimi, purple fox ears, purple fox tail, purple hair, short hair, hime cut, swept bangs, flower accessory, golden eyes, curvy build, huge breasts, silver-blue color scheme, seductive miko attire, slit ceremonial kimono, sacred talismans, purification tools, shrine ornaments, traditional jewelry, provocative spiritual accessories, silk obi belt, traditional hair ornaments, prayer beads necklace, sacred water vessel, purification brush, shrine bell chime, divine protection amulet, ceremonial sake cup, spiritual purification smoke, traditional makeup, shrine maiden gloves, divine blessing seal, ritual implements, calm, praying, moonlit grove, starlight, mystical, silver-blue color scheme, looking_afar, cowboy_shot, dutch angle, aerial,"
2117,狐族,姬武士,"fox girl, kemonomimi, (purple hair:1.2), purple to blonde gradient fox ears, (purple hair:1.2), purple to blonde gradient fox tail, (purple hair:1.2), purple to blonde gradient hair, short hair, forehead, blunt bangs, streaked hair, heart-shaped eyes, curvy build, huge breasts, steel-red color scheme, kyudo warrior outfit, archery samurai attire, ceremonial bow, precision arrows, marksman gear, ranged combat accessories, shooting stance armor, archer warrior jewelry, distance battle ornaments, accuracy honor badges, bowmanship scrolls, archery master implements, confident, standing, castle, sunlight, epic, steel-red color scheme, looking_down, profile, foreshortening, aerial,"
2118,狐族,领主,"fox girl, kemonomimi, purple fox ears, purple fox tail, purple hair, short hair, messy hair, long bangs, flower accessory, purple eyes, curvy build, huge breasts, feudal lord scheme, alluring ruler attire, revealing ceremonial robes, power symbols, command sword, territory documents, noble jewelry, clan ornaments, authority accessories, ruling implements, leadership symbols, seductive sovereign ornaments, war council fan, noble, standing, estate, sunlight, regal, feudal lord scheme, looking_away, profile, foreshortening, symmetric composition,"
2119,狐族,海贼,"fox girl, kemonomimi, purple fox ears, purple fox tail, purple hair, short hair, forehead, centre parting bangs, tiara, brown eyes, curvy build, huge breasts, ocean-blue color scheme, pirate queen attire, captain's royal outfit, commanding cutlass, treasure hoard, pirate fleet symbols, maritime crown, ocean ruler jewelry, sea conquest ornaments, plunder queen accessories, naval dominance badges, corsair royalty gems, sea empire implements, confident, swaggering, port, sea light, wild, ocean-blue color scheme, looking_afar, full_shot, foreshortening, symmetric composition,"
2120,狐族,船长,"fox girl, kemonomimi, purple fox ears, purple fox tail, purple hair, short hair, disheveled hair, crossed bangs, ribbon, heart-shaped eyes, curvy build, huge breasts, maritime gold scheme, seductive naval commander attire, exposing officer robes, command symbols, navigation instruments, ship documents, authority badges, maritime accessories, captain's jewelry, naval ornaments, leadership tools, provocative maritime accessories, weather crystal, confident, commanding pose, ship deck, sunlight, adventurous, maritime gold scheme, head_tilt, full_shot, from_side, aerial,"
2121,狐族,歌妓,"fox girl, kemonomimi, purple fox ears, purple fox tail, purple hair, short hair, messy hair, crossed bangs, silk bow, red eyes, curvy build, huge breasts, entertainment gold-red scheme, dance performer attire, graceful dancing kimono, fan dance props, rhythm instruments, movement ornaments, flowing accessories, dancer jewelry, choreography tools, performance makeup, artistic motion symbols, seductive dance ornaments, silk ribbons, seductive, performing pose, entertainment quarter, soft light, sensual, entertainment gold-red scheme, facing_away, portrait, from_above, rule of thirds,"
2122,狐族,医师,"fox girl, kemonomimi, (red hair:1.2), red to orange gradient fox ears, (red hair:1.2), red to orange gradient fox tail, (red hair:1.2), red to orange gradient hair, short hair, messy hair, blunt bangs, silk bow, blue eyes, petite build, small breasts, healing green scheme, seductive apothecary dress, cropped linen apron, herb satchel, healing potions, medical instruments, leather gloves, healing amulet, treatment kit, medicinal accessories, alluring care ornaments, mortar and pestle, focused, examining, herb garden, soft light, peaceful, healing green scheme, sideways_glance, cowboy_shot, foreshortening, rule of thirds,"
2123,狐族,吟游诗人,"fox girl, kemonomimi, red fox ears, red fox tail, red hair, short hair, curly hair, centre parting bangs, tiara, pink eyes, petite build, small breasts, rainbow color scheme, provocative performer dress, flowing ribbons, hand drums, tambourine, dance veils, jingling anklets, performance makeup, stage jewelry, colorful sashes, entertainment props, alluring showman accessories, feather fans, artistic, performing pose, village square, sunlight, lively, rainbow color scheme, head_tilt, panorama, from_side, rule of thirds,"
2124,狐族,巫女,"fox girl, kemonomimi, red fox ears, red fox tail, red hair, short hair, hime cut, air bangs, flower accessory, rainbow eyes, petite build, small breasts, silver-blue color scheme, revealing shrine maiden outfit, sheer white hakama, red obi, sacred rope, purification wand, shrine bells, traditional accessories, alluring mystical ornaments, white tabi socks, wooden geta sandals, paper talismans, purification streamers, sacred mirror pendant, fox mask accessory, incense burner, ceremonial fan, divine blessing scroll, shrine maiden headdress, spiritual energy aura, prayer beads, calm, casting, torii gate, moonlight, mystical, silver-blue color scheme, looking_back, panorama, from_above, turn_one's_back,"
2125,狐族,姬武士,"fox girl, kemonomimi, (red hair:1.2), red to orange gradient fox ears, (red hair:1.2), red to orange gradient fox tail, (red hair:1.2), red to orange gradient hair, short hair, messy hair, asymmetric bangs, flower accessory, rainbow eyes, petite build, small breasts, warrior honor scheme, revealing samurai armor, silk kimono, katana, wakizashi, traditional accessories, alluring warrior ornaments, lacquered armor plates, silk obi belt, traditional hair ornaments, warrior headband, battle gloves, armored sleeves, traditional sandals, warrior's honor badge, family crest pendant, sword maintenance kit, combat fan, armor decorations, battle scars, samurai spirit aura, honorable, drawing sword, samurai estate, sunlight, honorable, warrior honor scheme, head_tilt, profile, dynamic_angle, turn_one's_back,"
2126,狐族,领主,"fox girl, kemonomimi, (red hair:1.2), red to orange gradient fox ears, (red hair:1.2), red to orange gradient fox tail, (red hair:1.2), red to orange gradient hair, short hair, curly hair, crossed bangs, ahoge, red eyes, petite build, small breasts, noble scheme, merchant lord attire, trade magnate robes, commerce scepter, business empire documents, wealth accumulation accessories, prosperity jewelry, trading clan symbols, economic authority ornaments, trade route maps, merchant guild fan, fortune maker badges, business leader implements, commanding, commanding pose, castle, noble lighting, powerful, noble scheme, looking_down, wide_shot, dutch angle, turn_one's_back,"
